1,RandomPlayer,Human,1,Human,28,game00001.log,
2,260729564,260729564,1,260729564,34,game00002.log,
3,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00003.log,
4,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00004.log,
5,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00005.log,
6,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00006.log,
7,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00007.log,
8,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00008.log,
9,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00009.log,
10,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00010.log,
11,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00011.log,
12,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00012.log,
13,260729564,RandomPlayer,1,RandomPlayer,52,game00013.log,TIMEOUT
14,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00014.log,
15,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00015.log,
16,RandomPlayer,260729564,0,RandomPlayer,41,game00016.log,TIMEOUT
17,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00017.log,
18,RandomPlayer,260729564,0,RandomPlayer,31,game00018.log,TIMEOUT
19,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00019.log,
20,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00020.log,
21,RandomPlayer,260729564,0,RandomPlayer,45,game00021.log,
22,260729564,RandomPlayer,1,RandomPlayer,24,game00022.log,TIMEOUT
23,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00023.log,
24,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00024.log,
25,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00025.log,
26,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00026.log,
27,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00027.log,
28,260729564,RandomPlayer,1,RandomPlayer,20,game00028.log,
29,RandomPlayer,260729564,0,RandomPlayer,41,game00029.log,TIMEOUT
30,260729564,RandomPlayer,1,RandomPlayer,36,game00030.log,TIMEOUT
31,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00031.log,
32,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00032.log,
33,RandomPlayer,260729564,0,RandomPlayer,55,game00033.log,TIMEOUT
34,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00034.log,
35,260729564,RandomPlayer,0,260729564,33,game00035.log,
36,RandomPlayer,260729564,0,RandomPlayer,19,game00036.log,
37,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00037.log,
38,RandomPlayer,260729564,0,RandomPlayer,31,game00038.log,
39,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00039.log,
40,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00040.log,
41,260729564,RandomPlayer,1,RandomPlayer,40,game00041.log,
42,RandomPlayer,260729564,0,RandomPlayer,39,game00042.log,TIMEOUT
43,260729564,RandomPlayer,1,RandomPlayer,48,game00043.log,TIMEOUT
44,RandomPlayer,260729564,1,260729564,14,game00044.log,
45,260729564,RandomPlayer,0,260729564,15,game00045.log,
46,RandomPlayer,260729564,1,260729564,36,game00046.log,
47,260729564,RandomPlayer,0,260729564,37,game00047.log,
48,RandomPlayer,260729564,1,260729564,42,game00048.log,
49,260729564,RandomPlayer,1,RandomPlayer,38,game00049.log,TIMEOUT
50,RandomPlayer,260729564,1,260729564,28,game00050.log,
51,260729564,RandomPlayer,0,260729564,19,game00051.log,
52,RandomPlayer,260729564,1,260729564,28,game00052.log,
53,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00053.log,
54,RandomPlayer,260729564,0,RandomPlayer,43,game00054.log,TIMEOUT
55,260729564,RandomPlayer,0,260729564,29,game00055.log,
56,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00056.log,
57,260729564,RandomPlayer,0,260729564,23,game00057.log,
58,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00058.log,
59,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00059.log,
60,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00060.log,
61,260729564,RandomPlayer,0,260729564,25,game00061.log,
62,RandomPlayer,260729564,0,RandomPlayer,27,game00062.log,TIMEOUT
63,260729564,RandomPlayer,0,260729564,37,game00063.log,
64,RandomPlayer,260729564,1,260729564,46,game00064.log,
65,260729564,RandomPlayer,0,260729564,15,game00065.log,
66,RandomPlayer,260729564,1,260729564,32,game00066.log,
67,260729564,RandomPlayer,0,260729564,25,game00067.log,
68,RandomPlayer,260729564,0,RandomPlayer,37,game00068.log,TIMEOUT
69,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00069.log,
70,RandomPlayer,260729564,1,260729564,16,game00070.log,
71,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00071.log,
72,RandomPlayer,260729564,0,RandomPlayer,43,game00072.log,
73,260729564,RandomPlayer,1,RandomPlayer,32,game00073.log,TIMEOUT
74,RandomPlayer,260729564,1,260729564,22,game00074.log,
75,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00075.log,
76,RandomPlayer,260729564,1,260729564,34,game00076.log,
77,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00077.log,
